Q,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,Percent_Growth
Q1,-0.029131027643485807,0.2942904768318966,1.5197673129248799,-0.008572984015804598,-0.0130289408814473,-46.64981198991685
Q1,0.0,0.0,1.0114461809377064,0.0,-0.07161200381539365,-21.052631578947366
Q1,0.0,0.31505271807691865,1.5070641177701807,0.0,0.0,-53.75000124176338
Q1,0.3890797819781341,0.007682990124836529,8.797805243474743,0.002989296122711554,0.026299245102690424,-7.944084315604876
Q1,0.05080318662661617,0.07952680667206746,3.2120767306088407,0.004040215201179867,0.012977481234361968,2.7918760503290065
Q1,0.0049166578295365805,0.5497886970594263,1.886725533922006,0.0027031229019879436,0.005100051000510005,-20.525723125717857
Q1,0.0,0.0,1.098175035089113,0.0,0.08263817165858955,-40.8788591644526
Q3,0.0,0.0,1.0330836760227151,0.0,-0.7537807753045674,-87.50000264922782
Q2,-0.2759682199808418,0.8553024995826383,-0.7993639416754426,-0.23603630835498537,0.18867891382516133,33.33333333333333
Q3,0.30171489104858173,0.2508119747535677,1.182953903447712,0.07567370763645231,0.08951850783690217,-16.57922316870259
Q2,-0.3564425122560355,0.27492990698768527,1.6567847267939433,-0.09799670674100872,-0.1623594470046083,-10.596024346484407
FY,0.01671354834795023,3.937201342111713,3.5072553409703957,0.06580460498699865,0.23079355230109813,-3.336286254348992
Q1,0.047598882853214945,0.7759554406607791,1.6043509709690074,0.036934612119327206,0.05925608081600628,-4.96914790890419
Q1,0.0,0.0,2.225986448784376,0.0,0.028397768035073736,-8.051485897799424
Q1,0.0,0.0,1.6525069776478338,0.0,0.03821997715975378,-6.509909990420485
Q1,0.0,0.0,1.3263444678501664,0.0,0.0,-10.775050581696268
FY,0.0,0.0,-0.0,0.0,1.6350453521289503,50.00000372529024
Q1,0.0,0.0,1.0138059083499993,0.0,0.250084700989734,-58.65116354502361
Q1,-0.07297308915828389,0.10256184154543792,-122.76562922868742,-0.007484254407333026,0.918809201623816,-8.620688237701678
Q1,-0.12213257773844483,0.17542124889464203,1.8588044327029691,-0.021424649317599947,-0.03982423312066142,-0.9999990463256836
Q1,0.04443409748660221,0.5753493734783443,1.839706422372973,0.025565130149992253,0.047032334125741676,-4.49438202247191
FY,0.0,0.0,-0.020377553121478424,0.0,1.607624568903007,-76.33663417170906
Q3,-2.6429215378351656,0.15811399878607293,-0.9153685238421941,-0.4178828928249554,0.3825168467440852,-27.99999713897705
Q1,0.03325644457835491,0.3335612466142521,1.3021230220025402,0.01109306111151385,0.01444453025778327,-3.2192088430804664
Q1,-1.9728197585340443,0.21822286849508932,-1.959198354499579,-0.4305143867310886,0.8434630780719442,9.999997764825855
Q3,0.5839880859902399,0.9179699825941797,1.1396752709096736,0.5360835331316688,0.6109611458520497,-73.80952313373416
Q1,-0.04721307676711112,0.23095671331602935,3.5041882853034942,-0.010904177035669368,-0.03821028942926799,-59.96503416346629
Q1,-10.662998624484182,0.36133200795228626,-0.03720999047557401,-3.8528827037773357,0.14336572871105852,-31.93309924597523
Q1,0.0,0.0,2.5344467841286233,0.0,0.001012547916070815,7.599998474121093
Q1,-1.6701835559599922,0.22159385664633288,-0.988863393059896,-0.37010241547246103,0.36598073034376116,-70.19230636971938
Q1,0.09615735313273414,0.06539650196436542,3.0318783236180593,0.006288354533033028,0.0190655257999282,25.656290518252682
Q1,0.11661697281080266,0.26806973000191486,4.15138614094592,0.031261480415032517,0.12977847654041832,26.4681183957854
Q3,0.036489975045176835,1.0207492023338187,1.768055566340278,0.03724711292054521,0.06585496532927483,13.788201423972929
Q2,0.02476087952471481,1.1947646829506238,3.582036872660973,0.02958342437492448,0.10596891693055689,-28.455286113741334
Q1,0.1077294562333086,0.5344006055272601,1.6030480228053505,0.057570686644202576,0.09228857539653534,-6.389529933260417
Q1,0.021142162818955042,0.3351523049356573,-1.9698379592491577,0.007085844600097735,-0.013957965666613188,-10.868467440087313
Q1,-0.13553729933361527,0.11119511314196562,1.0553530116670384,-0.015071085334357812,-0.015905315296705448,-22.73636465210558
FY,0.1402733322740596,0.3569591351099528,1.4174618635803373,0.05007184736753935,0.07097493408250252,-79.11764827566572
Q1,0.0,0.0,26.360655737704917,0.0,0.0684248039914469,5.150781723242246
Q1,0.31895874478607433,0.03955892741364375,6.4203731629559,0.012617665832939237,0.08101012309294868,6.425704441694151
FY,-24.52967,0.10392450092856542,1.2412639507827197,-2.5492337126924034,-3.164271909685073,-59.999998246922225
FY,0.20478525783920346,0.46794158553546594,2.7505738332058147,0.09582753824756607,0.2635807192042846,2.9099580513053764
Q3,-0.11546207205191318,0.515207993082909,1.7838903170522709,-0.059486982419060426,-0.10611825192802056,43.799465186727744
Q1,0.003825251825492786,0.21655304922138816,2.2431630255754262,0.0008283699468501442,0.0018581688362721246,-6.8031747905459765
Q1,0.0,0.0,4.0259235974025405,0.0,0.06160393575815663,18.691480622936822
Q1,0.0677213719337777,0.023308593813726894,1.5884844155708344,0.001578489950912749,0.002507406687160073,6.135984621646334
Q2,0.0,0.0,-0.0002531799811807394,0.0,0.2843454891315385,-66.66666494199515
FY,0.04136461287582599,1.20068983620441,3.116795330685733,0.04966607025853434,0.15479897587530939,13.163893574049968
Q1,-0.07863672672406141,0.05361638138202445,1.460996704534394,-0.004216216730671311,-0.006159878749113562,-8.468242228533866
Q1,0.0,0.0,7.545606957828765,0.0,0.05657288415339318,-8.947700608278362
Q1,0.2284844599169518,0.010092450379536511,8.174662347375971,0.002305968074207035,0.018850510390471326,-8.118437056267057
