Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,Percent_Growth
-1.4307980249297023,7.24549713380447,-0.335833121741144,-10.366842988681254,3.481529243489117,-99.72500000149012
0.08557545217313056,0.12740467291862517,3.01018048797322,0.010902712493981151,0.03281913241536391,58.47437937513714
0.02785419367802619,0.8352294296526288,1.2481128758350852,0.023264642299131673,0.029036899605243797,-4.193762218200632
-0.003207827460448843,2.1150536853491935,5.581758054192448,-0.00678472729218667,-0.03787070620866226,93.65079965781257
-8.503166743630278,0.06186559132721886,1.1221150430757525,-0.5260534387486291,-0.5902924770815657,515.5555725097656
-1.372565120867382,1.4257318545149376,-0.25382772477199333,-1.9569098152167719,0.4967179659804551,-33.443709027531376
-8.064658035255285,0.4725358901447427,-0.2502662195726079,-3.8108403634023076,0.9537246111433988,72.60273390984904
-0.7246806424637389,0.8000212237817088,-4.407035380235868,-0.5797598944347554,2.5550223668157788,59.33113644355071
-3.4968595856030213,0.23094301038720005,1.607045501440188,-0.8075752796004987,-1.2978102201562833,244.08602398631888
0.005981626839676118,0.47282973249891275,2.408471895716858,0.002828291018512376,0.006811859430995464,-1.94876665903444
-0.8302905209820709,2.284577354395273,-0.06384762506787257,-1.8968629218046926,0.1211101926365353,57.32088026406158
0.0008063297708118477,1.634054383323807,2.1056108034806194,0.0013175866963995805,0.002774324782461295,19.45079924238539
0.03083462411296423,0.0710708891221423,1.9564444310879376,0.0021914441514554158,0.00428743870615518,-22.687092419418452
0.11109893567718256,0.29609025850824494,3.183822665327243,0.03289531258464786,0.10473284179002634,47.22079186576047
0.015104124700591127,1.7409140758499324,11.007193739691898,0.026294983294651738,0.28943397550619365,-61.77215260165067
-164.94035714285715,0.013151800904280253,-5.154255860008619,-2.1692627382237366,11.180935180388037,-30.769227095374358
0.020661339455211692,0.6116932217121253,1.531367602663248,0.012638401296246287,0.019354038294528763,22.248069179093388
-2.8972608422839605,0.6948041493457925,-1.077206442963248,-2.0130288549559814,2.168447652429513,106.34920034218742
-51.26086404833837,0.31179175701719847,-0.06576262971723096,-15.982714867851161,1.051065359730578,-93.11111111111111
-0.7650349875786335,0.7623633815222746,2.582990162366988,-0.5832346601132984,-1.5064893894241036,3.2967000577117043
0.04617818680741474,0.6131009335643539,2.790502968247917,0.02831188944193511,0.07900441152442678,11.536686622972804
-0.6618685058004833,1.360585047491405,-0.6191687170188152,-0.9005283923976158,0.5575790093598478,15.76576448076584
0.04542590672404002,0.9888120197684738,1.6927625377148208,0.044917682577612306,0.0760349703483478,-7.211530574993293
-0.05295901168970372,0.3656643567847322,1.7039549814268702,-0.019365222945470623,-0.03299746810437659,32.769559925677925
-0.0520700189797561,5.198577528555079,-2.307873774054766,-0.2706900305795965,0.6247184224727333,118.36879491146452
-0.2152578835281018,1.2075952011070352,6.834493219129193,-0.2599443871489929,-1.7765881513204853,-17.665130568356375
-29.033253917557218,0.6077315991123717,-0.10780472535113625,-17.644425830752578,1.9021524806627756,-97.9310344052407
-1.5287642137009956,0.5128444468731954,1.1659130648979288,-0.7840182375750225,-0.914097106306967,-66.31578980390385
-0.28464960278812607,1.6136861875964421,-31.604709620738266,-0.45933513232401274,14.517153475703811,54.05405550534804
-0.06454495463293923,0.04454214786964349,14.625727677105413,-0.00287497091349981,-0.042048541660447206,-48.1191240845362
-4.939907917729864,0.26920458526582836,9.729709302141835,-1.3298458622438498,-12.939013656288815,-74.59546721122295
0.004847414640057823,3.7724459973549727,12.028083267871171,0.01828660995640603,0.2199528672427337,31.79062675315044
-0.3961342523224453,1.8453404964975793,-2.9541664428809282,-0.7310025778603986,2.1595032851746425,69.49153295778365
0.05251222699824879,1.3875138700530145,1.6674718610268797,0.07286144330744257,0.12149440646896575,47.58886751742788
-0.17828653477983408,1.0832421222420647,2.5896876456876456,-0.19312748430209115,-0.5001398601398601,-34.313722625689834
-0.0014142745850062924,0.30536320782338816,2.252196706177154,-0.0004318674240206125,-0.000972650389884436,4.830153199205461
-0.06515206857302139,1.8571572743000773,1.3938708479941335,-0.12099763808608413,-0.16865508040433733,205.75539883011947
0.0007709508097937338,1.1388707604739254,3.3539280838532792,0.0008780133350377782,0.0029447935823808825,-29.55082728992026
0.11599948458990463,1.037290440032723,2.2302311716878926,0.12032515641383124,0.2683529145723478,-4.736842267832821
-0.014361604403078715,0.08951873457914426,4.61434388906471,-0.001285632652689873,-0.005932351174521569,108.68705973173792
0.08371631892146204,0.8474291730091061,1.807827961758287,0.07094365091098116,0.12825391582609053,7.003893830070261
0.012364457092389971,2.702094749867421,5.2611020692862125,0.03340993459430794,0.1757730760288305,27.6871806799295
-0.4739487631278635,7.175306581633413,-0.14050697622807687,-3.4007276794283747,0.47782596321160564,-31.25
0.22962028177503202,0.0095022640631432,6.997788181424231,0.002181912551679702,0.015268561867045406,20.799999237060547
-3.303194523673702,0.416884661117717,-0.9598265236247432,-1.37705112960761,1.321730198584798,-62.71641934446458
0.003617491543738153,1.7684841000299716,4.835350473817558,0.0063974762770938,0.030934039947682093,100.23866894380116
-0.1727694494588773,2.8637788874695156,2.102250771783187,-0.4947735017600643,-1.0401379759329652,-1.3333359824285513
0.0050723129747164706,2.6929111796021297,5.511969111969112,0.013659288316054919,0.07528957528957529,-52.000001072883606
-0.1456462789996987,1.4181578902391085,2.908146528157463,-0.2065494197473893,-0.6006759779313087,-41.81817950624408
-1.7492307692307691,0.3208857858175535,2.477850589777195,-0.561303289960859,-1.3908256880733945,-25.161287861485636
