Q,year,sector,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,RNOA,NOAT,NOPM,Percent_Growth
FY,20,9,0.0,0.0,3.017686225551394,0.0,0.20089471493965877,-0.0,-0.0,0.0,48.271018800691884
FY,20,11,0.0,0.0,1.9721844581859833,0.0,0.12270774643802228,0.0,0.0,0.0,9.180528731628401
Q2,21,3,0.0,0.0,8.401033938623142,0.0,0.03290232930591865,0.0,0.0,0.0,0.9078477047531767
Q1,21,4,0.0,0.0,-8.448255114320096,0.0,-0.35138387484957884,0.0,0.8169459962756053,0.0,109.44882880156553
FY,20,8,0.0,0.0,0.9626615093074392,0.0,-0.5730032295455786,1.8316942161833727,-1.0980867622519388,-1.6680778597375707,136.66666348775226
FY,20,3,0.0,0.0,9.473110505533619,0.0,0.07468995050330905,0.0,0.0,0.0,20.29250429414966
Q1,21,7,0.0,0.0,3.34212721052542,0.0,-0.015182203461950879,-0.0,-41.40874035989717,0.0,67.54666601612504
FY,20,8,0.0,0.0,5.050867743865949,0.0,-0.39796529024536204,-0.0,-0.0,0.0,-2.797922432772876
FY,20,2,0.0,0.0,0.0,0.0,0.0,-1.08368119996007,0.0,0.0,24.661815768934613
FY,20,6,0.0,0.0,5.700923628342983,0.0,-0.6685277088502894,0.0,0.0,0.0,93.15960772920432
Q3,21,5,0.0,0.0,-23.986928137870958,0.0,5.724041579321394,-16.670357797913987,13.993351484125938,-1.1913055865726554,-8.864952128234513
FY,20,9,0.0,0.0,5.013179571663921,0.0,0.44810543657331137,0.0,0.0,0.0,14.503725387984536
FY,20,3,0.0,0.0,24.63064833005894,0.0,4.595284872298625,-0.8713036234902124,0.0,0.0,37.07601079668487
FY,20,2,0.0,0.0,1.4760721624126356,0.0,0.04201440564896231,-0.19800111982082866,0.0,0.0,21.125373338071892
FY,20,11,0.0,0.0,4.079145481644345,0.0,0.04617189729712588,0.0,0.0,0.0,31.486146499110383
Q1,21,8,0.0,0.0,1.2259926390669156,0.0,-0.002053865239455201,0.0,0.0,0.0,38.212318228844495
FY,20,4,0.0,0.0,2.7537896920376577,0.0,-0.07558108611244083,-10.006401463191587,0.0,0.0,12.603855588791143
Q1,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.206552638672886
FY,20,11,0.0,0.0,1.539395132555644,0.0,0.0361978493056213,0.0,0.0,0.0,10.753973919801291
Q1,21,2,0.0,0.0,1.2959785012421434,0.0,0.07954223128932264,-0.3204709801131472,0.41178226969945875,-0.7782534695994668,89.74359914866224
FY,20,8,0.0,0.0,1.1371207847946045,0.0,-0.25182096873084,-0.3985442531554087,0.0,0.0,40.70859863936947
FY,20,9,0.0,0.0,3.896800360522758,0.0,-0.3463271744028842,0.0,0.0,0.0,3.239644500665055
Q2,21,7,0.0,0.0,2.9957310565635007,0.0,0.26858769121309145,0.0,0.0,0.0,56.756750225933814
FY,20,2,0.0,0.0,1.2969713580923667,0.0,0.10378279159970266,-0.36376177658142667,1.2282845015011905,-0.2961543324342549,67.58241013273692
Q2,21,9,0.0,0.0,2.790244754349223,0.0,0.10824879657730628,0.0,0.0,0.0,5.6348907518665845
FY,20,8,0.0,0.0,3.1116606383017738,0.0,0.2083886969075038,0.0,0.0,0.0,11.149211583873644
Q1,21,8,0.0,0.0,0.0,0.0,0.0,0.03388767217904756,-0.0,0.0,5.610563693579757
FY,20,8,0.0,0.0,3.8393612584162544,0.0,0.8546015478625858,0.0,0.0,0.0,-1.5453052249117332
Q2,21,8,0.0,0.0,3.611175785797439,0.0,-2.1382421420256112,-3.0844024307900066,0.0,0.0,52.11268669791349
FY,20,0,0.0,0.0,0.0,0.0,0.0,-0.0,-2.7868884927708457,0.0,10.34772474060112
FY,20,3,0.0,0.0,17.680855161787367,0.0,-0.04160246533127889,0.0,0.0,0.0,19.421646282608094
Q1,20,3,0.0,0.0,9.092544548877754,0.0,0.03759104970300748,0.0,0.0,0.0,43.39721025314004
FY,20,6,0.0,0.0,1.6135015176242697,0.0,0.023583423577322574,0.0,0.0,0.0,12.209665144778894
Q2,21,1,0.0,0.0,-5.308939428056744,0.0,-0.05111461382571493,-0.0,-5.897053045186642,0.0,-8.234278797794033
FY,20,8,0.0,0.0,3.6107720880870255,0.0,0.4345980366144866,0.0,1.5030398558883133,0.0,26.48338479217806
Q3,21,9,0.0,0.0,1.6181775355003702,0.0,0.03758184073144703,-2.485955628431592,0.0,0.0,18.636468591285087
FY,20,5,0.0,0.0,1.5827344821490346,0.0,0.02944745920044341,0.0,0.0,0.0,15.903031645767573
FY,20,2,0.0,0.0,-498.6744186046512,0.0,38.37984496124031,-0.0,-0.0,0.0,-9.342978041139316
Q1,21,1,0.0,0.0,2.83521921862177,0.0,0.019397677252493098,0.0,3.200081582704467,0.0,19.483807372848332
Q1,21,8,0.0,0.0,-1.1950362301338562,0.0,1.3800418941054027,12.995326020166612,-0.0,0.0,89.23077216515173
Q1,21,2,0.0,0.0,5.078455284552845,0.0,0.3326558265582656,-0.3301163780868578,0.7791654839625319,-0.42367941712204005,-2.105049745984653
