Q,year,sector,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,RNOA,NOAT,NOPM,Percent_Growth
Q3,16,3,0.0,0.0,12.213566879805327,0.0,0.06202917497217117,0.0,0.0,0.0,36.54618737091778
Q3,16,9,0.07149510945505357,0.5452006094464195,2.023118417672746,0.03897917724733367,0.0788594913948112,0.8054363376251789,0.0,0.0,20.97770570571257
Q3,16,8,-0.012072857789070064,0.3379153129594822,1.3299314331962884,-0.004079603518108933,-0.005425592953711233,-0.2339187900919388,0.0,0.0,-40.8876285299007
Q2,17,2,0.001441877239332329,0.8828010033853039,2.3379432607570516,0.001272890673641012,0.0029759461721195076,0.21241811945753553,0.0,0.0,23.00379294027207
Q3,16,0,0.0,0.0,1.0198388261317874,0.0,-0.013562983904012149,-0.307545914443218,0.2726683958666542,-1.1279118486237043,11.475414705673822
FY,16,9,0.0,0.0,0.0,0.0,0.0,1.7256664122175995,-2.2726223756780395,-0.7593282679454149,33.33333333333333
FY,16,7,-11.148952676493407,0.170457550912457,1.5054748158471034,-1.9004231684739488,-2.8610392195898866,-2.079312257348863,0.0,0.0,-7.843135765358715
Q3,16,8,0.0,0.0,-0.2225889849097267,0.0,0.5859444639487827,0.69851133515868,-0.13398899297638342,-5.213199380353563,-11.33333432674404
Q3,16,2,0.16821561338289961,0.04366528690853015,2.662848497946834,0.007345183020858696,0.019559109574238166,0.3420408163265306,3.4383673469387754,0.09947768281101614,4.896351709360058
Q3,16,8,-0.3696916207245231,0.48149951041860684,1.485983739172496,-0.17800633438471916,-0.2645145183653946,0.06574158315078356,0.0,0.0,18.955226321805597
Q3,16,3,0.0,0.0,1.2819323674991876,0.0,0.22538866543294503,0.0,0.0,-0.5467379016931028,10.72028439695247
Q3,16,9,-0.08010555951915184,0.6945732881840004,4.184843687285377,-0.05563918187703645,-0.23284127904383892,0.02969228777350999,0.0,0.0,27.7676891001088
Q1,16,9,0.0,0.0,1.9378172997888696,0.0,0.003517494802327268,-0.5657387895381284,0.5801115134189215,-0.9752242050910409,7.214050687134349
