Q,year,sector,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,RNOA,NOAT,NOPM,Percent_Growth
Q3,19,9,0.0,0.0,2.3773983051791143,0.0,-0.5877643285859047,-0.8817479666468624,0.0,0.0,-17.30205682514417
Q3,19,8,0.0,0.0,1.4045712458678608,0.0,-0.8497065486606358,-0.6574697063663206,0.0,0.0,111.53846153846155
Q3,19,8,0.0,0.0,2.1647584246853433,0.0,0.11027202598457166,-1.9341227125941873,2.314962325080732,-0.8354877708546452,-4.285716200495266
Q3,19,2,0.0,0.0,1.9164042694052867,0.0,0.09528976731418237,-0.8592859723287342,0.0,0.0,56.04154995584629
Q3,20,2,0.0,0.0,4.695796121427532,0.0,-0.3976992625390945,-0.4246970538233897,0.0,0.0,101.50362097207035
Q2,20,9,0.0,0.0,5.437931974343685,0.0,0.27578634654593104,0.0,0.0,0.0,13.39059783968452
FY,18,8,0.0,0.0,-0.6125455273515087,0.0,3.540337991228756,1.143366866154341,-0.0708819401806859,-16.130580839629562,-79.4741274811921
Q3,19,1,0.0,0.0,-21.76729847948344,0.0,-0.2868985627994168,0.0,0.0,0.0,-17.257683588223273
Q3,19,8,0.0,0.0,2.782227276419462,0.0,0.09032572496141662,0.0,315.1186440677966,0.0,50.508560186287035
Q3,19,1,0.0,0.0,2.1780971595163123,0.0,-0.05789544955435601,-0.36649247439290095,0.0,0.0,57.2719234063737
Q3,19,9,0.0,0.0,1.6791148802768887,0.0,0.07258407572761436,0.0,0.0,0.0,4.886252804796054
Q3,19,4,0.0,0.0,2.0013657315199453,0.0,0.18406077505263757,0.0,3.076010781671159,0.0,-14.724463771589477
Q3,19,11,0.0,0.0,2.113777656374917,0.0,0.03800360360772221,0.0,0.0,0.0,-4.930947939313087
Q3,19,1,0.0,0.0,5.476002953482649,0.0,0.21018951513659856,0.0,25.300613496932517,0.0,-16.502667928723394
FY,19,3,0.0,0.0,8.570692039034533,0.0,0.04728852856689891,0.0,0.0,0.0,-7.824638244138502
Q3,19,0,0.0,0.0,16.557958677069127,0.0,0.006285869926595385,0.0,0.0,0.0,3.05785019747363
Q3,19,1,0.0,0.0,2.147675175356136,0.0,0.20276954226625207,0.0,0.0,0.0,-25.379395793572524
Q3,19,1,0.0,0.0,2.2881692886372673,0.0,0.02894430350350632,-0.28989765798087025,2.1116525324462354,-0.13728473483515752,6.862750368730701
Q1,19,2,0.0,0.0,1.5381207837022102,0.0,-0.03181288676816165,-0.4261834112868985,0.0,0.0,-36.1702129458417
Q3,19,9,0.0,0.0,-0.01434982981415103,0.0,0.12078677068586403,0.247307981695509,-0.0,0.0,-23.529415373983642
Q3,19,8,0.0,0.0,1.3167045869498049,0.0,-0.4349503291106055,-0.4748988056568887,0.0,0.0,-8.30188757331821
FY,19,1,0.0,0.0,1.5574050235008832,0.0,0.1615124390024848,0.0,0.0,-0.7799112141829943,7.152344001603751
Q3,19,8,0.0,0.0,7.849747809928325,0.0,-5.340677816122467,0.0,0.0,0.0,138.157890196322
FY,19,6,0.0,0.0,2.3147122814083225,0.0,0.12198888944312351,0.0,0.0,0.0,12.151387244638036
Q3,19,8,0.0,0.0,3.5864910907500347,0.0,0.025599705327132925,11.240609496810773,-21.050673281360737,-0.533978621328171,122.49528435990335
Q3,19,11,0.0,0.0,1.9417219156472973,0.0,0.030252676371026143,0.0,23.40688018979834,0.0,-9.893620000159622
Q2,20,7,0.0,0.0,1.6332479595355789,0.0,0.07981515116680078,0.0,0.0,0.0,8.212460409576456
Q3,19,3,0.0,0.0,8.217671321373553,0.0,0.03700243502459872,0.0,0.0,0.0,-40.6914889839452
Q3,19,2,0.0,0.0,1.3523907983498256,0.0,0.06563384897443204,0.0,0.0,0.0,36.54475911458333
Q3,19,9,0.0,0.0,2.6257468456596347,0.0,0.11233487255857806,0.0,0.0,0.0,-12.59154736156195
Q2,20,1,0.0,0.0,2.0677390488717347,0.0,0.10564977233440787,0.0,0.0,0.0,-3.077256278822472
Q1,20,5,0.0,0.0,8.320862109594504,0.0,-0.027425816158210523,14.958813402198384,-15.019864918553834,-0.9959352819291981,-3.9647574624840836
Q3,19,8,0.0,0.0,-0.16516137467689862,0.0,0.9270277020661725,0.8493886637097234,-0.0,0.0,-28.024299205566567
Q3,19,8,0.0,0.0,7.526960513694613,0.0,0.2441627964750778,0.0,4.737458414198489,0.0,54.68722490163803
Q3,19,1,0.0,0.0,5.142909589753541,0.0,0.006198940294547427,-0.0,-0.0,0.0,-21.64502218118533
FY,19,4,0.0,0.0,1.1294626132951628,0.0,-0.0008163402237666833,-1.1091757976707326,1.6506271104679209,-0.6719723616779217,-44.82758877439075
Q3,19,1,0.0,0.0,5.196592898505185,0.0,0.15545181128518204,27.22430160021698,-28.861133713045838,-0.9432859384838034,-18.3297732545139
Q3,19,11,0.0,0.0,4.018637125988463,0.0,-0.11917836534434376,0.0,0.0,0.0,-52.94117647058824
Q3,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.449101080935115
Q3,19,4,0.0,0.0,1.3968777050215384,0.0,-0.05288145259020133,0.0,0.0,0.0,14.97585464712955
Q3,19,2,0.0,0.0,1.6397035380091802,0.0,0.06600302636173626,0.0,2.449916250224948,0.0,-28.27565313132885
Q3,19,4,0.0,0.0,1.139805126470138,0.0,-0.14270672630456277,37.28483844598374,-0.0,0.0,-5.555555555555555
Q3,19,11,0.0,0.0,3.385783664459161,0.0,0.06437086092715232,-0.0,-9.185031185031185,0.0,21.286247583604194
Q3,19,9,0.0,0.0,1.3111117366860259,0.0,-0.0014638942870125661,-3.3982230490585397,0.0,0.0,-37.60000228881836
Q1,20,1,0.0,0.0,-7.150795286274907,0.0,-0.19725239148917004,-0.0,-3.9268819744088317,0.0,3.3794335736591083
Q3,19,3,0.0,0.0,6.60284742109781,0.0,0.03428433320747898,0.0,0.0,0.0,-24.999995415027158
Q3,19,8,0.0,0.0,1.0750867643990973,0.0,-0.3137410153805306,0.0,0.0,0.0,12.673103094555108
Q3,19,8,0.0,0.0,-6.314931538816674,0.0,2.963290765205108,0.8773761582486617,-0.0,0.0,-89.14549686562849
Q1,20,1,0.0,0.0,1.2468220190842008,0.0,0.04452203260256476,0.0,0.0,0.0,-25.101210458551332
FY,19,7,0.0,0.0,2.0847768727773315,0.0,0.06001045211782851,0.0,0.0,0.0,42.542543517238784
Q2,20,7,0.0,0.0,2.118314108692683,0.0,-0.1086810677575961,1136.542115768463,-2986.553160345975,-0.3805531175064707,45.75999450683594
FY,19,8,0.0,0.0,1.9907329401853413,0.0,0.22556866048862678,0.0,0.0,0.0,18.20462167066316
FY,19,8,0.0,0.0,-0.09624182283064342,0.0,-1.048315459506939,0.263083669579054,-0.776170595872609,-0.33895083243044327,-59.99999940395355
Q3,19,9,0.0,0.0,3.440164298401421,0.0,0.2506660746003552,19.53696498054475,-32.09338521400778,-0.6087536372453928,14.106683977168903
Q3,19,9,0.0,0.0,1.949269832102636,0.0,0.01969803225939524,-0.9625257944696657,0.0,0.0,-1.6420822365061323
Q1,19,0,0.0,0.0,1.2991152314390189,0.0,-0.17443793876493036,-0.3437049058668756,0.23553333358320558,-1.4592622650817142,-69.23076923076923
Q3,19,1,0.0,0.0,2.1520086836089694,0.0,0.13765820509994298,0.0,0.0,0.0,-23.860975164870528
Q3,19,1,0.0,0.0,-2.1378489973048818,0.0,-0.020507478147889117,-0.0,-43.69147427740411,0.0,51.021967264577064
Q3,19,7,0.0,0.0,2.5827765404602823,0.0,0.18423006290782637,7.516073724817831,-0.0,0.0,-1.9271623995359088
Q2,19,1,0.0,0.0,4.397843823742616,0.0,-0.0017466878479880316,-0.0,-0.0,0.0,-17.647057871631986
FY,19,1,0.0,0.0,4.789250728091077,0.0,0.15091342335186655,0.0,0.0,0.0,-13.198872633709188
Q3,19,9,0.0,0.0,1.8063900253263199,0.0,0.06904344437950516,0.0,0.0,0.0,-3.8566258900238752
Q3,19,6,0.0,0.0,1.6026530531793275,0.0,0.10639807624078527,0.0,0.0,0.0,2.2677046194964015
Q3,19,3,0.0,0.0,8.862919709404538,0.0,0.09949896204203279,0.0,0.0,0.0,-7.78957031299121
Q3,19,8,0.0,0.0,1.616148246194573,0.0,-0.82136554158394,-3.0943851881666333,0.0,0.0,3.783780126522939
Q3,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7587982745204223
Q3,19,3,0.0,0.0,8.313610169210541,0.0,0.06495675050467309,0.0,0.0,0.0,-19.25925737545814
Q3,19,7,0.0,0.0,-0.492709177507642,0.0,0.4575801521290965,0.18855502413345201,-0.0,0.0,0.0
Q3,19,1,0.0,0.0,3.589987646660965,0.0,0.1482657812508734,4.753181566347752,-6.373063978632444,-0.7458236073392924,-10.596723712858607
Q3,19,1,0.0,0.0,1.999578650018397,0.0,-0.053196918804078196,0.0,0.0,0.0,-52.125983507942095
Q3,19,11,0.0,0.0,2.2339023845178128,0.0,0.02076602456760921,0.0,0.0,-0.7168331670507866,-15.230765709510216
Q3,19,0,0.0,0.0,3.1847114321589185,0.0,0.07170215923548823,0.0,0.0,0.0,32.517242431640625
Q3,19,11,0.0,0.0,2.1809869017420707,0.0,0.011543534479564693,0.0,0.0,0.0,-3.208378059294385
Q3,19,3,0.0,0.0,7.767538697614826,0.0,0.06417323421182008,0.0,0.0,0.0,0.7177017875617802
Q1,19,6,0.0,0.0,4.1658912662871295,0.0,0.07904468688216097,0.0,0.0,0.0,3.3638768829447567
Q3,19,4,0.0,0.0,2.4021301883342474,0.0,0.0036569756811117207,0.0,0.0,0.0,-23.491381826355315
FY,19,9,0.0,0.0,13.88375844530479,0.0,-1.266359219615881,19.41618802554795,-0.0,0.0,-61.23595334695495
Q3,19,9,0.0,0.0,2.603950103950104,0.0,0.09805959805959806,-2.953865336658354,4.835411471321696,-0.610881897885508,-8.628488457163423
Q3,19,8,0.0,0.0,4.460192697768763,0.0,-1.4946754563894524,-1.214719411223551,0.0,0.0,-11.463050614172001
Q3,19,11,0.0,0.0,1.920020722015216,0.0,0.008217049108025756,0.0,0.0,-0.6306968817068552,9.730540599865444
