Q,year,sector,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,RNOA,NOAT,NOPM,Percent_Growth
FY,13,3,0.0,0.0,3.3748560062784874,0.0,0.12503777095828403,0.0,0.0,0.0,1.0931268890048988
FY,13,1,-0.04532206005457822,0.4570832207226216,1.0852581820614602,-0.020715953179530688,-0.0224821576872878,0.5899000033770445,0.0,0.0,-59.60396267715444
FY,13,3,0.0,0.0,12.072346592044774,0.0,0.09410353787727363,0.0,0.0,0.0,-5.20445962224428
Q3,14,5,-0.1464110929853181,0.4399784676116993,2.780938123752495,-0.06441772833303427,-0.17914171656686625,-1.1870229007633588,0.0,0.0,65.64951663180531
FY,13,9,0.0,0.0,1.749188100805404,0.0,0.17114835022083658,-5.87159420289855,6.388550724637681,-0.9190807831038316,-18.9320366325742
FY,13,8,0.0,0.0,1.1084442799574135,0.0,0.44987336810190115,-1.7293924291578262,2.5164317703097234,-0.6872399440994866,63.84180084738
Q2,14,8,0.0,0.0,1.2966381936333213,0.0,-0.04282931801256975,-0.807486907078666,0.715826681306144,-1.1280480710851302,-60.294118059547706
FY,13,3,0.0,0.0,153.1796649785742,0.0,3.791819244253993,0.0,0.0,0.0,22.758614679579416
FY,13,3,0.06106584450029304,2.679491551645836,-1.224642257607119,0.16362541443265355,-0.20038259693270533,-1.7329238670275522,-0.0,0.0,1279.9999660915798
FY,13,1,0.030029635477398488,1.7824909401088196,1.6061370541750841,0.05352755317323319,0.08597258657085693,1.8312125842596187,0.0,0.0,-6.590600370137444
FY,13,2,0.09497751336374634,0.5661136427553943,3.064874543180202,0.053768066070199586,0.16479237693458587,1.348781227950307,0.0,0.0,22.749547564315336
FY,13,1,0.05910859456552684,1.620913491119406,1.4934579407445474,0.09580991837236967,0.14308808339530238,-48.32642592655502,-0.0,0.0,-3.5611503535524642
FY,13,11,0.0,0.0,1.470539040869575,0.0,0.007009468251165016,0.0,0.0,0.0,15.141233233382522
Q3,14,0,0.06365782132894643,0.5611028615001806,1.5465830798833096,0.03571858570453907,0.055241760288001984,0.6638644337062289,0.0,0.0,-11.519996643066406
Q1,14,3,-48.305473993288594,0.014588456669484103,2.5703671517720568,-0.7047023142499819,-1.8113436803259026,-2.6066807715383975,0.0,0.0,-97.85714277199337
FY,13,3,0.0,0.0,8.141732780181531,0.0,0.08637739993914341,0.0,0.0,0.0,-11.356537677923455
Q1,14,9,0.0,0.0,1.3388362943934466,0.0,0.026263315788528214,-0.4772119419861271,0.5351678299883306,-0.8917052095536699,-1.3100491452158132
Q1,14,2,-0.059233517876787295,0.38599318974423596,-7.043534281150442,-0.022863734505033352,0.16104149778132462,-2.047694875856018,-0.0,0.0,-18.23235291316036
FY,13,0,0.0,0.0,1.2696149249509523,0.0,-0.18322219400312434,0.0,0.0,0.0,7.917526087810084
Q3,14,1,0.1367036517124012,0.9799868086309244,1.2399523319936443,0.13396777536982946,0.16611365548182072,0.30507038962556227,1.9158829370874466,0.15923227026038173,17.261787802435553
FY,13,1,0.015861257571135996,1.4225699471770963,1.4347908950568264,0.022563748345133253,0.032374260683950724,2.215232274164921,0.0,0.0,-1.188905555442523
FY,13,9,0.0,0.0,1.7528332636478845,0.0,0.11234027900931887,0.0,11.153647007090639,0.0,0.6469868595785693
FY,13,1,0.06832715830076638,1.9451108149464436,3.2357450886439865,0.13290389456537835,0.43004312410158124,2.0233995584988964,0.0,0.0,23.252107558109998
FY,13,8,-0.18201907043758397,0.8580646281537045,2.3110909572461615,-0.15618412599190845,-0.36095572124529485,0.6773539377759523,0.0,0.0,-3.153634008264013
Q1,14,7,0.04979284026894421,0.1948559515958412,6.1945269719691565,0.009702431273264846,0.060101972215916136,0.18598806754802877,0.0,0.0,8.064515113673872
Q2,13,3,-0.010896715374047709,0.6658627858627859,3.8837303189341945,-0.0072557172557172565,-0.028179249091643117,2.6801673640167363,0.0,0.0,20.882854365222613
FY,13,6,0.030314762476286346,1.2604277226756457,9.952525497814474,0.03820956703143872,0.38028169014084506,1.2088494969543495,0.0,0.0,58.90151533966112
FY,13,8,-21.518022657054583,0.01746937013115521,1.093120673379484,-0.3759063022866704,-0.41091095028319696,-0.3531397974066452,0.0,0.0,-10.350319644133707
FY,13,8,0.0,0.0,3.248776176230623,0.0,-0.4590472305321367,0.0,0.329680916283098,0.0,6.365833775717316
