year,sector,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,RNOA,NOAT,NOPM,Percent_Growth
19,3,0.0,0.0,1.0,0.0,-1.3179236043095004,-1.3189331726060423,0.0,0.0,107.94980091673942
19,1,0.0,0.0,2.6843677650195272,0.0,0.09648394565141133,0.0,15.531333796802066,0.0,17.105266460091197
19,9,0.0,0.0,-0.335833121741144,0.0,3.481529243489117,3.8218703042334994,-0.0,0.0,-99.72500000149012
19,8,0.0,0.0,-0.0060885294860761555,0.0,0.28409461667234626,0.2332499957352892,-0.0,0.0,-94.39943967817902
20,5,0.0,0.0,3.01018048797322,0.0,0.03281913241536391,-0.0,-0.0,0.0,58.47437937513714
19,6,0.0,0.0,1.2481128758350852,0.0,0.018520873700459094,0.0,1.74518235254826,0.0,-4.193762218200632
19,9,0.0,0.0,5.581758054192448,0.0,-0.03787070620866226,-14.158733868245436,14.368206486458414,-0.9854211019022868,93.65079965781257
19,2,0.0,0.0,1.1221150430757525,0.0,-0.5902924770815657,-4.641757988423887,0.4885300970713915,-9.501478038405404,515.5555725097656
19,7,0.0,0.0,-0.25382772477199333,0.0,0.4967179659804551,0.27671740582711146,-0.0,0.0,-33.443709027531376
20,2,0.0,0.0,1.5870038166401212,0.0,0.0,-1.207832262891706,0.0,0.0,105.89331181297908
20,2,0.0,0.0,-4.407035380235868,0.0,2.5550223668157788,-12.786769957694633,0.0,0.0,59.33113644355071
19,8,0.0,0.0,1.9922425845301504,0.0,-1.7264906932561255,-0.0,-0.0,0.0,-66.55172638068471
19,8,0.0,0.0,-0.2502662195726079,0.0,0.9537246111433988,4.159392769926374,-0.4552078997758359,-9.137347510828873,72.60273390984904
19,9,0.0,0.0,1.607045501440188,0.0,-1.2978102201562833,-2.2846000064923357,0.0,0.0,244.08602398631888
20,2,0.0,0.0,2.408471895716858,0.0,0.006811859430995464,0.0,0.0,0.0,-1.94876665903444
19,9,0.0,0.0,-0.06384762506787257,0.0,0.1211101926365353,0.16306732910903654,-0.1416830565131879,-1.1509303449693589,57.32088026406158
19,11,0.0,0.0,1.9564444310879376,0.0,0.00428743870615518,0.0,0.0,0.0,-22.687092419418452
20,2,0.0,0.0,2.1056108034806194,0.0,0.002774324782461295,-5.744211926025821,5.742637004064619,-1.0002742506552456,19.45079924238539
20,9,0.0,0.0,3.183822665327243,0.0,0.10473284179002634,0.0,0.0,-0.5320980741256056,47.22079186576047
19,9,0.0,0.0,11.007193739691898,0.0,0.28943397550619365,-2.019909612800782,0.0,0.0,-61.77215260165067
19,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.513491567995554,-8.333331781129008
19,9,0.0,0.0,-5.154255860008619,0.0,11.180935180388037,4.194990888276249,-0.02844239298041741,-147.49078571428572,-30.769227095374358
20,9,0.0,0.0,1.521816823158647,0.0,-1.1798304038467786,-1.2956524996722047,0.0,0.0,73.5057322876919
20,9,0.0,0.0,1.531367602663248,0.0,0.019354038294528763,0.0,0.0,0.0,22.248069179093388
19,2,0.0,0.0,13.224657534246575,0.0,-18.15890410958904,2.3652439024390244,-0.0,0.0,-73.45132756491351
19,8,0.0,0.0,-0.06576262971723096,0.0,1.051065359730578,0.1522872327796697,-0.0194521567446563,-7.828809667673716,-93.11111111111111
19,6,0.0,0.0,-1.077206442963248,0.0,2.168447652429513,0.6236640984856475,-0.585194768098198,-1.0657376526322502,106.34920034218742
19,9,0.0,0.0,2.582990162366988,0.0,-1.5064893894241036,0.41833124256167775,-0.0,0.0,3.2967000577117043
19,2,0.0,0.0,-0.6191687170188152,0.0,0.5575790093598478,1.197151697650178,-0.5664199567409874,-2.1135408161432623,15.76576448076584
20,1,0.0,0.0,2.790502968247917,0.0,0.07900441152442678,0.0,0.0,0.0,11.536686622972804
20,9,0.0,0.0,1.6927625377148208,0.0,0.0760349703483478,0.0,14.358774290389322,0.0,-7.211530574993293
19,1,0.0,0.0,1.7039549814268702,0.0,-0.03299746810437659,-0.38495878494971414,2.130990779921291,-0.18064779471450024,32.769559925677925
19,1,0.0,0.0,-2.307873774054766,0.0,0.6247184224727333,2.9671565951281895,-0.0,0.0,118.36879491146452
19,7,0.0,0.0,6.834493219129193,0.0,-1.2855103497501785,-0.6314567222059387,0.0,0.0,-17.665130568356375
19,8,0.0,0.0,-0.10780472535113625,0.0,1.9021524806627756,0.6326175773707774,-0.061362517392605925,-10.309511477881555,-97.9310344052407
19,2,0.0,0.0,-3.0479121935940595e-06,0.0,-1.086582220972379,0.055790159415182734,-0.0,0.0,0.0
19,8,0.0,0.0,1.1659130648979288,0.0,-0.914097106306967,-2.6176981233530454,1.0361897973521408,-2.5262728218732327,-66.31578980390385
19,2,0.0,0.0,-31.604709620738266,0.0,14.517153475703811,2.3335819186891165,-0.0,0.0,54.05405550534804
19,3,0.0,0.0,14.625727677105413,0.0,-0.042048541660447206,0.0,0.0,0.0,-48.1191240845362
19,8,0.0,0.0,9.729709302141835,0.0,-12.828997569616734,2.971772439860852,-1.5541546263187414,-1.9121472146564722,-74.59546721122295
20,6,0.0,0.0,1.6674718610268797,0.0,0.12149440646896575,0.0,7.850459955530366,0.0,47.58886751742788
20,8,0.0,0.0,12.028083267871171,0.0,0.1767478397486253,23.71641791044776,-0.0,0.0,31.79062675315044
19,6,0.0,0.0,-2.9541664428809282,0.0,2.1595032851746425,5.151392190657316,-0.0,0.0,69.49153295778365
19,9,0.0,0.0,2.5896876456876456,0.0,-0.5001398601398601,-9.6818466442762,8.56332896908977,-1.1306171559242715,-34.313722625689834
