Q,year,sector,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,RNOA,NOAT,NOPM,Percent_Growth
Q3,18,0,0.0,0.0,1.000691895495969,0.0,-0.14438043937700126,0.0,0.0,0.0,9.688790312199854
Q3,18,9,0.0,0.0,2.660250247697152,0.0,0.1054466396570498,0.0,5.394658714380385,0.0,-5.197670302986327
Q3,18,4,0.0,0.0,2.873095112979506,0.0,0.08355228586442459,0.0,9.790657439446367,0.0,-40.13647560471155
Q3,18,9,0.0,0.0,-0.5327214347360292,0.0,0.7539865521852956,0.3312364231974072,-0.0677188648340968,-4.891346362773464,-97.41666666666666
Q3,18,3,0.0,0.0,4.183482966940762,0.0,0.018732169827152208,0.0,0.0,0.0,-2.681995221105185
Q3,18,9,0.0,0.0,1.176494264439525,0.0,0.09222634881721217,0.0,0.0,0.0,25.45918201019945
Q3,18,1,0.08863025962399283,1.1459768430309247,-5.816709292412617,0.10156822512091454,-0.5907928388746803,-6.8221498371335505,-0.0,0.0,-39.56680840862647
Q3,18,6,0.0,0.0,3.683569979716024,0.0,0.2288708586883029,-2.1547169811320757,2.450428816466552,-0.879322413551729,-30.769232929247337
FY,18,1,0.0,0.0,-0.3417367797588312,0.0,-0.0,0.0,0.0,0.0,-24.60317712565323
Q3,18,9,0.0,0.0,3.3967123287671233,0.0,0.3419178082191781,0.0,26.214912280701753,0.0,-15.222630814856553
Q3,18,3,0.0,0.0,8.920142408237531,0.0,0.06583840484552438,0.0,0.0,0.0,-2.247867268922267
Q3,18,5,0.0,0.0,-0.3810864198760982,0.0,-0.24848610152772346,1.8499294241432842,-0.0,0.0,5.555556705336561
Q3,18,9,0.0,0.0,2.0077613926155893,0.0,0.19329563514062903,0.0,2.225551121868254,0.0,13.860894694942694
Q3,18,1,0.0,0.0,5.57113252512693,0.0,0.010983317790902497,6.457123002084781,-8.309659485753995,-0.7770622867465043,-10.11235676635287
Q3,18,2,0.0,0.0,-1.0271860420237704,0.0,0.9195929301987672,1.2204130927378247,-0.9666845588261783,-1.2624729355558786,-48.94514549066948
Q3,18,3,0.0,0.0,10.428152497527241,0.0,0.06436295617626252,0.0,0.0,0.0,-13.509363401159282
Q2,19,2,0.0,0.0,1.1358285526179757,0.0,0.15804001508425536,-0.47759073610282277,0.8659495662357897,-0.5515225767464377,25.182480710196405
