Q,year,sector,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,RNOA,NOAT,NOPM,Percent_Growth
FY,17,8,0.07106638717832478,0.34721439419479955,2.543268117131606,0.02467527257173511,0.06275583401322592,1.816941657324582,0.0,0.0,-2.5831279949035535
Q2,18,4,0.0,0.0,-0.014657335270038294,0.0,0.5774131783969365,0.5774131783969365,-0.0,0.0,-3.223957088281468
FY,17,5,-7.980973782771535,0.3172377738700632,-0.055780895421093935,-2.531866356161779,0.1412297724332464,-14.359341664126791,0.0,0.0,-20.407515431904756
FY,17,5,0.0,0.0,1.7504831377309151,0.0,0.07099184437375042,-2.34917753265314,2.655253472241382,-0.8847281652060608,31.47717513224398
Q2,18,9,0.0,0.0,-0.0025903549535293956,0.0,0.07686465410141134,0.15641552634702083,-0.0,0.0,11.94029571909666
Q3,18,8,0.48299826544101354,0.20144425670908755,3.2017443202399796,0.09729722657354355,0.31152084255694545,1.3214689077863406,0.0,0.0,-10.845291382382339
FY,17,9,0.0,0.0,1.9844979545092298,0.0,-0.06474140628228363,0.0,2.2259324725894047,0.0,63.37449386579392
FY,17,3,0.0,0.0,11.69054479050421,0.0,0.08409252308004464,0.0,0.0,0.0,3.121519673376848
FY,17,1,0.003717151357433267,1.4432022235449702,1.9094678974124852,0.005364601104300895,0.010243533591086129,3.100327433817707,0.0,0.0,-34.11764818079332
FY,17,1,0.015397419891801914,1.277285613040397,5.571569595261599,0.01966690290574061,0.10957551826258638,0.9,0.0,0.0,-39.497644499323386
FY,17,1,0.07419240326588569,1.1106792835417372,2.9833641404805915,0.08240396530359356,0.24584103512014788,1.0981905605466278,0.0,0.0,-4.492272249185651
Q2,18,8,0.0,0.0,-0.6217486551856306,0.0,1.676334240890287,1.395287965373727,-0.0,0.0,-49.370786315942006
FY,17,9,0.0,0.0,1.2771051193930965,0.0,0.6741612649507743,0.0,0.0,0.0,-21.811867995099654
FY,17,4,0.29325040993898926,0.22692165867721498,1.1593003237226944,0.0665448694311287,0.07714548867359192,0.671737469361833,0.0,0.0,-17.723881101576424
FY,17,6,0.08766192329781125,0.6799952268856514,3.3476050404909756,0.05960968942212773,0.19954969677161638,8.415089273728018,0.0,0.0,-15.838338083648958
Q4,17,11,0.0,0.0,5.807058889520386,0.0,0.11581910884138821,0.0,0.0,0.0,15.301287466744078
FY,17,1,0.0001276595744680851,0.9795748228428511,2.5263268744734626,0.00012505210504376823,0.0003159224936815501,1.2969101123595506,0.0,0.0,18.123075045072117
FY,17,1,0.18194760228047327,0.36948586136413036,3.8303574102691154,0.06722706655173888,0.257503692537108,-15.010559313414744,-0.0,0.0,-20.173078663478456
FY,17,11,0.0,0.0,1.8129485755263095,0.0,0.05768019444623084,0.0,0.0,0.0,2.7213091407317282
FY,17,3,0.0,0.0,9.034502517521846,0.0,0.07643645534338928,0.0,0.0,0.0,-6.273762990096146
