Q,year,sector,Profit_Margin,Asset_Turnover,Financial_Leverage,ROA,ROE,RNOA,NOAT,NOPM,Percent_Growth
FY,18,1,0.0,0.0,10.09932043910089,0.0,-0.31329499912876807,-0.0,-0.0,0.0,-17.872339324640286
Q2,19,8,0.0,0.0,-0.07372969787408898,0.0,2.6913678118038886,0.43419448673983285,-0.0,0.0,150.00000662273848
Q2,19,7,0.0,0.0,-0.0039038870053317953,0.0,0.11668753429089937,0.08754554534839554,-0.0,0.0,-21.56862481563465
FY,18,1,0.0,0.0,-2.5148974464734337,0.0,-0.32766882897746447,-0.0,-0.0,0.0,43.480932320444424
Q2,19,8,0.0,0.0,1.2304504158193585,0.0,-0.2105579041942769,-1.0118839118101124,0.7556092592244497,-1.3391629330332726,20.28470403090312
FY,18,8,0.0,0.0,4.467365979224109,0.0,0.32883290770905615,0.0,2.8350401200715813,0.0,-1.443137012900876
FY,18,2,0.0,0.0,1.677920024730067,0.0,0.02015235487646007,0.0,2.962247991957442,0.0,29.69782302902808
FY,18,2,0.0,0.0,4.603770599547236,0.0,-0.06062954217818997,-15.136950629183685,14.794740737979476,-1.023130509500969,-25.26315921561541
FY,18,2,0.0,0.0,5.006590021998362,0.0,0.028098243187833546,0.0,8.517865548855664,0.0,38.016522122397305
Q1,18,3,0.0,0.0,2.724182209145265,0.0,0.015748022886284643,-0.4012070550765108,0.49375157672973885,-0.812568655950068,-40.0
FY,18,8,0.0,0.0,1.3724704085528827,0.0,-1.0697308132875143,-0.8562451209992193,0.004605776736924278,-185.90677966101694,-35.59321705139554
FY,18,4,0.0,0.0,0.0,0.0,0.0,0.0,1.5657124782539933,0.0,-32.9810912376278
Q1,19,11,0.0,0.0,2.457822102272323,0.0,0.18589109087154362,-0.38807433936801156,0.765775807196265,-0.5067727861354986,-12.509425349079283
FY,18,7,0.0,0.0,1.1786001878942425,0.0,-2.272782176889008,-0.39071936652798284,0.5472419809421554,-0.713979153893317,-55.96330508510723
FY,18,11,0.0,0.0,2.252155861164737,0.0,-0.08002045058111484,0.0,0.0,0.0,-88.22697528765086
FY,18,3,0.0,0.0,4.929048001482672,0.0,0.13297708037313893,0.0,0.0,0.0,7.894195476263614
Q3,19,4,0.0,0.0,2.541002430771317,0.0,-1.7593313474758339,-1.8825534707168818,1.16190567257613,-1.6202291762144172,-71.42856899572867
Q3,19,9,0.0,0.0,3.15428868592973,0.0,0.10022264114148276,0.0,0.0,-0.49434061465410306,8.466672177521131
FY,18,2,0.0,0.0,2.455803751898347,0.0,0.06942869317250647,-0.8822820480318262,8.417691625145041,-0.10481282604797536,38.109763698837504
Q2,19,3,0.0,0.0,8.04174663784337,0.0,0.06504771332942737,0.0,0.0,0.0,25.22415622337208
Q1,19,5,0.0,0.0,-0.02284482772158192,0.0,0.7703313250647063,0.7426308584501051,-0.0,0.0,0.0
FY,18,4,0.0,0.0,2.2026528211576686,0.0,0.22695006692897415,0.0,0.0,0.0,17.132909895302394
FY,18,10,0.0,0.0,3.5663740007862668,0.0,0.10758747215305989,4.275563258232236,-0.0,0.0,16.802082662023455
FY,18,2,0.0,0.0,1.4625131483129703,0.0,0.19345416295816814,0.0,0.0,0.0,2.324125863443663
Q3,19,2,0.0,0.0,1.304330324658234,0.0,-0.002600981560898577,0.0,0.7692226290503503,0.0,-11.253774900876214
FY,18,9,0.0,0.0,2.7756554971609697,0.0,0.41659483150448845,0.0,0.0,0.0,-0.9632507954204397
FY,18,2,0.0,0.0,1.9134311782766806,0.0,0.21739651155194564,0.0,0.0,0.0,63.79601148351396
Q2,19,7,0.0,0.0,11.051221434200158,0.0,0.10638297872340426,-0.0,-5.385458167330677,0.0,36.781275116270564
FY,18,3,0.0,0.0,11.43045398070837,0.0,0.07956861871017896,0.0,0.0,0.0,-4.761904761904762
FY,18,8,0.0,0.0,5.160132654973401,0.0,0.04303942116549955,0.0,3.228094383297132,0.0,15.371162044576955
Q2,19,1,0.0,0.0,1.0036539020483268,0.0,-0.3473304880100876,-0.13560071372376534,0.0,0.0,-23.333334922790527
FY,18,10,0.0,0.0,2.1998904771328847,0.0,0.04359212514842935,0.0,1.1740642445318934,0.0,21.143470958953323
FY,18,11,0.0,0.0,5.573917416593402,0.0,0.1087640020483416,0.0,0.0,0.0,7.158349794501458
FY,18,1,0.0,0.0,2.2654095130875316,0.0,0.2822966507177033,-2.388059701492537,7.9826673086182,-0.2991556091676719,-32.15981347820934
